address,name,lat,lng,postcode,suburb,url
"Margate Ave, Frankston VIC 3199",Bruce Park Tennis Club,-38.15605573,145.1377845,3199,Frankston,https://play.tennis.com.au/BruceParkTennisClub/Booking/
"Corner Overport Road &, Somerset Rd, Frankston South VIC 3199",Overport Park Tennis Club,-38.17576054,145.1209617,3199,Frankston South,https://play.tennis.com.au/overportparktennisclub/Booking/
"1 Bowes St, Frankston South VIC 3199",Yamala Park Tennis Club,-38.16118489,145.1003623,3199,Frankston South,https://play.tennis.com.au/YamalaParkTennisClub/Booking/
"55 Wimbledon Ave, Mount Eliza VIC 3930",METC - Mount Eliza Tennis Club,-38.17710999,145.0849128,3930,Mount Eliza,https://bettertennis.intennis.com.au/secure/customer/booking/v2/public/venue/1
"44 Williams Landing Blvd, Williams Landing VIC 3027",Williams Landing Tennis Club Inc.,-37.85874482,144.7491081,3027,Williams Landing,https://play.tennis.com.au/williamslandingtennisclub/Booking/
"73 Alcock Rd, Truganina VIC 3029",Truganina Tennis Club,-37.82632471,144.7206258,3029,Truganina,https://play.tennis.com.au/TruganinaTennisClub
"Saltwater Reserve, Point Cook VIC 3030",Saltwater Reserve Tennis Club,-37.90742575,144.757751,3030,Point Cook,https://play.tennis.com.au/SaltwaterTennisCentre/Booking/
"25 Wootten Rd, Tarneit VIC 3029",Hoppers Crossing Tennis Club,-37.85580721,144.6590284,3029,Tarneit,https://play.tennis.com.au/HoppersCrossingTennisClub/Booking/
"98 Shaws Rd, Werribee VIC 3030",Galvin Park Tennis Courts,-37.8847574,144.6536477,3030,Werribee,https://play.tennis.com.au/werribeecentraltennisclub/Booking/
"Watton St, Werribee VIC 3030",Werribee Tennis Courts,-37.9043119,144.6516654,3030,Werribee,https://play.tennis.com.au/WerribeeTennisClub/Booking/
"42 Waverley Rd, Lara VIC 3212",Lara Tennis Club,-38.01498407,144.4142154,3212,Lara,https://play.tennis.com.au/laratennisclub
"22 Carey St, Hamlyn Heights VIC 3215",Hamlyn Park Tennis Club,-38.12457163,144.3298636,3215,Hamlyn Heights,https://hamlynparktc.com/
"11 Arnott St, Geelong West VIC 3218",Geelong West Tennis Club,-38.14217898,144.3434373,3218,Geelong West,https://play.tennis.com.au/geelongwesttennisclub
"12-20 Sommers St, Belmont VIC 3216",Geelong Lawn Tennis Club,-38.16436942,144.3495098,3216,Belmont,https://www.geelonglawntc.com.au/court-hire
"N Valley Rd, Highton VIC 3216",Highton Tennis Club,-38.16867564,144.3193856,3216,Highton,https://play.tennis.com.au/hightontennisclub/Booking/
"7A Wandana Dr, Wandana Heights VIC 3216",Wandana Heights Tennis Club,-38.16949371,144.309041,3216,Wandana Heights,https://play.tennis.com.au/wandanaheightstennisclub/Coaching
